2023년 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도(년)",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,,,
,,,,,,,,,국비,지방비,기타,합계, 내국인(명) ,외국인(명),전담조직명,조직형태,설립근거,,성명,연락처,,
87,부산,-,부산국제록페스티벌,문화예술,7월중,삼락생태공원,혼합형,2000년도,-,730,"2,200","2,930","27,500",500,부산문화관광축제조직위,위원회,「문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙」제4조,,임성원,051-888-5221,,
88,부산,-,부산바다축제,생태자연,8월중,"해운대, 광안리, 다대포 해수욕장",혼합형,1996년도,-,870,50,920,"77,000", - ,부산문화관광축제조직위,위원회,「문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙」제4조,,박지선,051-888-5224,,
89,부산,-,부산불꽃축제,문화예술,10월중,광안리해수욕장 일원,혼합형,2005년도,-,"1,700","1,000","2,700","700,000", - ,부산문화관광축제조직위,위원회,「문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙」제4조 ,,임태훈,051-888-5222,,
90,부산,-,시민의 종 타종식,문화예술,12.31.,중구 용두산공원,혼합형,-,-,120,-,120,"5,000", - ,부산문화관광축제조직위,위원회,「문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙」제4조 ,,박지선,051-888-5224,,
91,부산,-,해운대북극곰축제,생태자연,12월중,해운대해수욕장,혼합형,1988년도,-,350,150,500,"9,900",100,부산일보사,사단법인,-,,임성원,051-888-5221,,
92,부산,중구,광복로 연등문화제,문화예술,5월 중,광복로 일원,취소,2014년도,-,50,10,60, - , - ,(사)부산시중구불교연합회,사단법인,-,,정지영,051-600-4065,,
93,부산,중구,부산자갈치축제,지역특산물,10.14.~10.17.,자갈치시장 일원 등,대면,1992년도,-,310,30,340,"690,000","10,000",(사)부산자갈치문화관광축제위원회,사단법인,부산광역시 중구 축제 운영 및 지원에 관한 조례,,김민선,051-600-4085,,
94,부산,중구,"보수동책방골목
문화축제",문화예술,10월중,보수동책방골목 일원,혼합형,2004년도,-,10,1,11, - , - ,보수동책방골목번영회,비영리법인,부산광역시 중구 축제 운영 및 지원에 관한 조례,,최우영,051-600-4045,,
95,부산,중구,광복로 겨울빛 트리축제,문화예술,"23년12월
~'24년1월",광복로 일대,대면,2022년도,-,250, -,250,"250,000","50,000",부산광역시 중구,지자체,부산광역시 중구 축제 운영 및 지원에 관한 조례,,김민선,051-600-4085,,
96,부산,서구,부산고등어축제,지역특산물,10.27.~10.29.,송도해수욕장,혼합형,2008년도,-,0,-,미정, - , - ,부산서구문화원,비영리법인,부산광역시 문화원 지원 및 육성에 관한 조례,,조연희,051-240-4062,,
